Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,16:41,17:19,17:58,19:37,20:13,20:46,20:56,20:33,19:44,18:49,17:58,16:31
2,16:42,17:21,17:59,19:38,20:14,20:47,20:56,20:32,19:43,18:47,17:57,16:31
3,16:43,17:22,18:00,19:39,20:16,20:48,20:56,20:30,19:41,18:45,17:55,16:31
4,16:44,17:24,18:02,19:40,20:17,20:48,20:56,20:29,19:39,18:44,17:54,16:31
5,16:45,17:25,18:03,19:42,20:18,20:49,20:55,20:28,19:37,18:42,16:53,16:30
6,16:46,17:26,18:04,19:43,20:19,20:50,20:55,20:26,19:35,18:40,16:52,16:30
7,16:47,17:28,18:05,19:44,20:20,20:50,20:54,20:25,19:34,18:38,16:50,16:30
8,16:48,17:29,18:07,19:45,20:22,20:51,20:54,20:24,19:32,18:36,16:49,16:30
9,16:50,17:31,18:08,19:46,20:23,20:52,20:53,20:22,19:30,18:35,16:48,16:30
10,16:51,17:32,18:09,19:48,20:24,20:52,20:53,20:21,19:28,18:33,16:47,16:30
11,16:52,17:33,18:11,19:49,20:25,20:53,20:52,20:19,19:26,18:31,16:46,16:30
12,16:53,17:35,19:12,19:50,20:26,20:53,20:52,20:18,19:24,18:29,16:45,16:30
13,16:54,17:36,19:13,19:51,20:27,20:54,20:51,20:16,19:23,18:28,16:44,16:30
14,16:55,17:38,19:14,19:53,20:28,20:54,20:51,20:15,19:21,18:26,16:43,16:31
15,16:57,17:39,19:16,19:54,20:29,20:55,20:50,20:13,19:19,18:24,16:42,16:31
16,16:58,17:40,19:17,19:55,20:31,20:55,20:49,20:12,19:17,18:23,16:41,16:31
17,16:59,17:42,19:18,19:56,20:32,20:55,20:48,20:10,19:15,18:21,16:40,16:32
18,17:00,17:43,19:19,19:57,20:33,20:56,20:48,20:08,19:13,18:19,16:39,16:32
19,17:02,17:44,19:21,19:59,20:34,20:56,20:47,20:07,19:11,18:18,16:38,16:32
20,17:03,17:46,19:22,20:00,20:35,20:56,20:46,20:05,19:09,18:16,16:38,16:33
21,17:04,17:47,19:23,20:01,20:36,20:56,20:45,20:03,19:08,18:14,16:37,16:33
22,17:06,17:48,19:24,20:02,20:37,20:57,20:44,20:02,19:06,18:13,16:36,16:34
23,17:07,17:50,19:26,20:04,20:38,20:57,20:43,20:00,19:04,18:11,16:35,16:34
24,17:08,17:51,19:27,20:05,20:39,20:57,20:42,19:58,19:02,18:10,16:35,16:35
25,17:10,17:52,19:28,20:06,20:40,20:57,20:41,19:57,19:00,18:08,16:34,16:36
26,17:11,17:54,19:29,20:07,20:41,20:57,20:40,19:55,18:58,18:07,16:34,16:36
27,17:12,17:55,19:31,20:08,20:42,20:57,20:39,19:53,18:56,18:05,16:33,16:37
28,17:14,17:56,19:32,20:10,20:43,20:57,20:38,19:52,18:55,18:04,16:33,16:38
29,17:15,,19:33,20:11,20:44,20:57,20:37,19:50,18:53,18:02,16:32,16:39
30,17:17,,19:34,20:12,20:44,20:56,20:35,19:48,18:51,18:01,16:32,16:39
31,17:18,,19:35,,20:45,,20:34,19:46,,18:00,,16:40
