"Directory","1","2","3","4","5","6","7","8","9"
"5A1",0,0,0,0,0,0,0,0,0
"5A2",1,0,0,0,0,0,0,0,0
"5A3",0,0,0,0,0,0,0,0,0
"5A4",0,0,0,0,0,0,0,0,0
"5A5",0,0,0,0,0,1,1,0,0
"5A6",1,0,0,1,0,1,0,2,0
"5A7",0,0,1,0,0,0,0,0,0
"5A8",0,1,0,1,0,0,0,0,0
"5B1",6,2,0,1,0,0,0,0,0
"5B2",0,0,0,0,0,0,0,0,0
"5B3",0,0,0,0,0,0,0,0,0
"5B4",0,0,0,0,0,0,0,0,0
"5B5",1,0,0,0,0,0,0,0,0
"5B6",0,1,0,0,0,1,0,0,1
"5B7",3,1,1,0,1,0,0,0,1
"5B8",1,3,0,0,0,1,2,0,1
"5C1",0,0,0,0,0,0,0,0,0
"5C2",0,0,0,0,0,0,0,0,0
"5C3",0,0,0,0,0,0,0,0,0
"5C4",0,0,0,0,0,0,0,0,0
"5C5",5,1,1,1,1,0,0,0,1
"5C6",0,0,0,0,0,0,0,0,0
"5C7",2,3,1,0,0,1,0,0,1
"5C8",2,1,0,0,1,0,0,0,1
"5D1",0,1,0,0,0,0,0,0,1
"5D2",1,1,1,0,0,0,0,1,0
"5D3",1,0,0,1,0,0,0,0,0
"5D4",0,0,1,0,0,0,0,0,0
"5D5",2,3,1,4,0,1,0,1,2
"5D6",0,0,2,2,1,0,0,1,0
"5D7",6,2,1,0,0,0,0,0,1
"5D8",0,1,1,1,0,2,0,1,0
"5E1",0,0,0,0,0,0,0,0,0
"5E2",0,0,0,0,0,0,0,0,0
"5E3",0,4,2,1,1,1,1,0,1
"5E4",0,0,0,0,0,0,0,0,0
"5E5",0,2,1,0,0,0,0,0,0
"5E6",1,5,1,1,0,0,0,0,0
"5E7",3,3,0,1,1,0,0,0,1
"5E8",1,2,0,0,2,0,0,1,0
"5F1",2,0,1,0,0,0,0,0,0
"5F2",4,3,0,0,0,0,0,0,0
"5F3",1,1,0,0,0,0,0,0,0
"5F4",1,0,1,0,0,0,0,0,0
"5F5",0,0,1,0,0,0,0,0,0
"5F6",1,3,1,2,2,0,1,0,0
"5F7",0,2,0,2,1,2,0,0,1
"5F8",0,2,0,2,0,1,0,0,0
"5G1",0,0,0,0,0,0,0,0,0
"5G2",3,1,0,0,0,0,0,0,0
"5G3",0,1,0,0,0,0,0,0,0
"5G4",0,0,0,0,0,0,0,0,0
"5G5",0,0,0,0,0,0,0,0,0
"5G6",1,0,0,0,0,0,0,0,0
"5G7",0,0,1,4,3,3,0,1,1
"5G8",1,0,0,0,0,0,1,0,0
"5H1",0,0,0,0,1,0,0,0,0
"5H2",2,2,0,0,0,0,0,0,0
"5H3",2,1,0,1,0,0,0,0,0
"5H4",4,1,3,0,0,0,0,0,0
"5H5",0,0,3,0,0,0,0,0,0
"5H6",0,0,0,0,0,0,0,0,0
"5H7",0,0,0,0,0,0,0,0,0
"5H8",5,6,1,2,2,0,2,3,0
