"Directory","1","2","3","4","5","6","7","8","9","10","11"
"1D4",0,1,0,0,0,0,0,0,0,1,0
"1D5",16,23,4,0,0,0,0,1,0,0,0
"1D6",4,36,10,3,1,0,0,0,0,2,0
"1E4",1,1,1,1,0,0,0,0,0,1,1
"1E5",7,26,14,8,3,1,1,1,0,0,0
"1E6",3,53,3,2,1,0,6,3,4,0,0
"1F4",0,0,0,0,0,1,2,1,0,1,1
"1F5",2,2,0,0,0,0,0,3,2,2,0
"1F6",1,2,4,3,0,1,0,1,4,0,0
"1P3",9,3,5,4,1,0,0,3,0,0,0
"1P7",27,3,2,3,1,1,1,2,1,0,0
"1R1",0,0,0,0,0,0,0,0,0,0,0
"1R3",1,5,28,22,1,2,0,4,1,0,1
"1R5",0,0,0,0,0,0,0,0,0,0,0
"1R7",0,0,0,0,0,0,0,0,0,0,0
"1R9",0,0,0,0,0,0,0,0,0,0,0
"1T3",0,1,20,17,6,4,3,4,0,1,0
"1T7",18,40,2,13,5,1,6,11,0,1,2
"1V1",0,0,0,0,0,0,0,0,0,0,0
"1V3",3,6,1,0,0,0,0,0,0,0,0
"1V5",3,28,11,8,1,0,3,3,4,0,0
"1V7",0,0,0,0,0,0,0,0,0,0,0
"1V9",0,0,0,0,0,0,0,0,0,0,0
"1X3",5,0,0,2,1,0,0,0,0,0,2
"1X7",6,8,10,0,0,0,2,1,2,0,1
