"Directory","1","2","3","4","5","6","7","8","9"
"5D4",2,3,4,2,1,2,0,1,0
"5D5",4,4,3,2,3,2,1,1,1
"5D6",2,1,3,4,3,2,3,2,1
"5E4",4,1,1,2,3,3,3,3,1
"5E5",3,3,2,2,0,2,3,1,0
"5E6",4,3,5,3,4,2,4,3,1
"5F4",6,2,5,5,3,1,2,2,0
"5F5",3,2,2,1,4,3,0,2,3
"5F6",3,4,3,4,3,2,3,1,1
"5P3",1,3,2,2,2,2,3,1,1
"5P7",1,1,5,2,3,2,2,3,2
"5R1",0,0,0,0,0,0,0,0,0
"5R3",1,3,4,4,4,4,2,2,1
"5R5",4,4,0,0,0,0,0,0,0
"5R7",2,4,3,3,3,2,1,2,2
"5R9",1,5,4,3,2,2,2,1,3
"5T3",5,2,3,1,3,4,1,2,0
"5T7",4,2,4,4,3,4,2,1,2
"5V1",0,0,0,0,0,0,0,0,0
"5V3",2,3,2,4,3,3,3,2,2
"5V5",5,3,4,3,2,3,2,1,2
"5V7",6,4,4,5,4,1,3,2,2
"5V9",5,5,3,5,3,2,0,1,0
"5X3",2,4,4,3,1,2,1,3,2
"5X7",3,4,4,3,2,3,1,0,2
