"Directory","1","2","3","4","5","6","7","8"
"8D4",4,7,5,2,2,4,3,4
"8D5",2,4,4,2,3,5,4,4
"8D6",1,4,3,5,4,4,4,2
"8E4",2,4,4,2,3,3,4,2
"8E5",5,4,2,2,4,1,1,1
"8E6",1,4,4,0,1,4,4,3
"8F4",2,3,4,3,3,4,3,4
"8F5",2,3,3,1,2,2,2,2
"8F6",1,3,4,2,2,4,4,1
"8P3",1,3,3,1,4,4,2,2
"8P7",2,3,4,0,4,3,3,2
"8R1",3,4,2,2,4,4,4,4
"8R3",2,5,4,2,6,4,3,2
"8R5",3,1,3,2,4,4,2,0
"8R7",3,4,3,1,2,2,0,1
"8R9",2,2,2,0,1,4,5,1
"8T3",0,0,0,0,0,0,0,0
"8T7",2,4,2,3,3,3,1,1
"8V1",1,3,2,0,2,3,4,1
"8V3",3,3,2,2,3,3,2,0
"8V5",2,2,2,0,1,0,2,0
"8V7",2,5,2,1,2,2,4,2
"8V9",2,2,2,0,0,0,0,0
"8X3",2,4,1,0,2,1,3,3
"8X7",1,4,4,1,5,6,5,1
