"Directory","1","2","3","4","5","6","7","8","9","10","11"
"1A1",0,12,10,1,2,0,0,0,0,0,0
"1A2",1,38,2,1,0,0,0,0,0,0,0
"1A3",83,4,2,0,0,0,0,0,0,0,0
"1A4",55,5,4,0,2,0,1,2,0,0,0
"1A5",17,23,3,1,1,0,1,0,1,0,0
"1A6",33,5,3,2,1,0,0,0,1,1,0
"1A7",24,8,2,0,1,0,1,0,0,1,1
"1A8",32,3,0,0,0,0,0,0,0,0,1
"1B1",16,4,1,0,0,0,0,0,0,0,0
"1B2",0,0,0,1,0,0,0,0,0,0,0
"1B3",24,0,4,1,1,0,0,0,0,0,0
"1B4",7,18,3,1,1,0,1,0,0,0,0
"1B5",0,3,3,0,0,0,0,0,0,0,0
"1B6",10,8,0,0,1,0,0,0,0,0,0
"1B7",31,5,2,1,0,0,0,0,1,0,0
"1B8",40,3,1,2,0,0,0,1,0,0,0
"1C1",3,23,16,1,0,0,0,0,0,0,0
"1C2",0,0,0,1,0,1,0,0,0,0,0
"1C3",0,14,18,2,0,4,1,1,0,0,0
"1C4",22,15,2,2,0,1,0,0,0,0,0
"1C5",8,37,1,1,3,0,0,0,0,2,0
"1C6",10,4,1,1,6,1,0,0,1,0,0
"1C7",8,7,17,1,2,0,0,0,0,1,0
"1C8",70,23,3,4,2,0,1,0,0,0,0
"1D1",0,0,6,1,0,0,0,0,0,0,0
"1D2",0,0,0,0,0,0,0,0,0,0,0
"1D3",0,45,14,6,3,0,1,0,0,0,0
"1D4",4,7,2,2,1,0,0,0,0,0,0
"1D5",0,1,2,0,0,0,0,0,0,0,0
"1D6",2,0,16,0,1,0,0,0,0,0,0
"1D7",0,28,2,1,0,0,0,0,0,0,0
"1D8",0,5,1,2,0,0,0,0,0,0,0
"1E1",0,0,0,0,1,0,0,0,0,0,0
"1E2",0,1,1,0,1,0,0,0,0,0,0
"1E3",0,8,0,2,1,0,0,1,0,0,0
"1E4",8,7,1,0,0,0,1,1,0,0,0
"1E5",0,1,29,0,0,1,0,1,1,0,0
"1E6",0,0,4,0,1,0,0,0,0,0,0
"1E7",0,0,5,1,1,0,0,0,0,0,0
"1E8",0,19,8,4,1,3,0,1,0,0,0
"1F1",0,0,1,1,0,0,0,0,0,0,0
"1F2",0,58,2,2,0,0,1,1,0,0,0
"1F3",47,4,0,2,2,0,0,0,0,0,0
"1F4",55,4,3,2,3,0,0,0,0,0,0
"1F5",0,102,7,1,1,3,0,0,1,0,0
"1F6",0,0,17,3,1,0,0,0,0,0,0
"1F7",0,0,5,3,0,0,0,0,0,0,0
"1F8",0,54,6,2,2,1,0,2,0,0,0
"1G1",10,1,1,1,0,0,1,0,1,0,0
"1G2",6,2,0,0,0,1,1,0,0,0,0
"1G3",0,5,0,0,1,0,0,0,0,0,0
"1G4",16,11,3,4,0,0,0,0,0,0,0
"1G5",0,23,6,1,0,0,0,0,0,0,0
"1G6",0,0,3,2,0,0,0,0,0,0,0
"1G7",0,0,56,6,1,0,0,0,0,0,0
"1G8",0,39,5,0,0,0,0,0,1,0,0
"1H1",0,34,0,0,1,1,0,0,0,0,0
"1H2",0,4,0,0,0,0,0,0,1,0,0
"1H3",19,1,0,1,0,0,0,0,0,0,0
"1H4",0,0,1,0,2,0,0,0,0,0,0
"1H5",0,3,0,0,0,0,0,0,0,0,0
"1H6",0,0,0,0,0,0,0,0,0,0,0
"1H7",0,21,2,1,0,0,0,0,0,0,0
"1H8",0,38,12,1,1,0,0,1,0,0,0
