"Directory","1","2","3","4","5","6","7","8","9","10"
"5A1",1,2,0,2,1,2,0,1,2,0
"5A2",1,1,1,2,1,2,2,3,1,0
"5A3",2,5,2,3,2,4,3,0,1,0
"5A4",1,5,0,4,3,1,0,2,0,0
"5A5",2,0,0,0,0,0,0,0,0,0
"5A6",3,6,3,5,4,3,4,2,2,2
"5A7",3,4,1,2,4,2,3,2,0,0
"5A8",1,3,1,0,2,1,2,1,1,1
"5B1",1,2,1,3,1,2,0,0,1,0
"5B2",1,3,3,1,2,1,1,0,0,0
"5B3",1,4,2,2,2,4,2,4,1,0
"5B4",2,3,0,3,0,0,0,1,0,0
"5B5",3,1,0,1,2,2,2,6,2,2
"5B6",1,2,3,2,2,4,5,2,3,1
"5B7",2,1,0,0,1,1,1,1,3,0
"5B8",1,1,3,2,4,5,2,2,4,1
"5C1",3,4,2,1,0,1,1,3,0,1
"5C2",1,2,1,2,1,2,1,1,0,1
"5C3",2,2,1,1,0,1,2,1,1,1
"5C4",1,2,1,3,3,1,2,3,2,2
"5C5",1,3,2,2,1,1,3,0,2,0
"5C6",1,2,3,0,0,0,1,1,0,0
"5C7",1,2,3,1,2,1,2,1,3,1
"5C8",1,3,3,1,2,2,1,1,1,1
"5D1",2,3,3,2,3,0,1,1,0,1
"5D2",2,5,3,4,5,4,1,4,2,1
"5D3",2,3,3,4,2,1,3,2,3,1
"5D4",2,5,2,4,1,1,1,1,0,1
"5D5",2,3,3,2,0,0,3,1,1,0
"5D6",2,2,2,2,2,2,3,2,3,2
"5D7",2,3,3,2,3,2,2,1,1,1
"5D8",1,3,3,3,4,1,3,2,0,0
"5E1",1,4,4,1,2,0,1,0,0,0
"5E2",1,5,3,3,3,1,3,0,0,0
"5E3",2,4,3,3,3,5,3,1,0,0
"5E4",2,2,2,3,4,1,1,1,0,0
"5E5",1,3,4,3,2,3,2,0,0,1
"5E6",2,3,5,3,2,2,5,1,1,2
"5E7",0,3,2,3,4,1,3,0,1,0
"5E8",1,4,2,1,3,5,3,0,3,1
"5F1",1,3,2,1,1,1,2,0,0,0
"5F2",1,5,2,1,1,0,1,0,1,2
"5F3",1,3,2,4,2,3,2,1,1,0
"5F4",1,3,5,3,2,3,2,0,0,0
"5F5",1,3,4,4,3,2,1,2,0,1
"5F6",1,3,4,3,1,1,1,0,1,1
"5F7",0,2,2,4,3,2,0,0,1,0
"5F8",1,4,2,4,3,1,3,2,1,0
"5G1",1,2,1,0,2,2,0,1,0,0
"5G2",1,3,2,2,1,1,1,0,0,0
"5G3",2,3,1,3,1,2,0,0,0,0
"5G4",1,5,1,4,2,2,3,0,1,1
"5G5",2,2,3,4,6,2,1,1,1,0
"5G6",1,4,4,2,2,2,0,1,2,1
"5G7",1,4,2,2,1,3,2,2,3,1
"5G8",1,5,0,3,1,1,2,2,0,0
"5H1",0,3,3,4,0,1,2,4,4,1
"5H2",0,2,4,2,3,3,1,1,2,0
"5H3",0,2,2,4,2,2,2,1,1,1
"5H4",0,2,1,1,1,3,1,1,2,3
"5H5",1,4,3,3,3,1,3,3,0,1
"5H6",0,0,0,0,0,0,0,0,0,0
"5H7",0,0,0,0,0,0,0,0,0,0
"5H8",1,3,2,1,3,1,2,0,1,0
