"Directory","1","2","3","4","5","6","7","8","9"
"6A1",1,1,1,1,0,0,1,1,0
"6A2",1,1,1,1,0,1,1,1,0
"6A3",1,1,1,0,1,1,1,0,0
"6A4",1,1,1,1,0,0,0,1,0
"6A5",1,1,0,0,0,0,0,0,0
"6A6",1,0,0,0,0,0,0,0,0
"6A7",0,0,0,0,0,0,0,0,0
"6A8",0,0,0,0,0,0,0,0,0
"6B1",1,1,1,1,0,1,1,1,0
"6B2",1,1,0,0,0,1,1,1,0
"6B3",1,1,1,1,1,0,1,1,0
"6B4",1,1,1,0,0,0,0,1,0
"6B5",1,1,0,0,0,0,0,0,0
"6B6",0,0,0,0,0,0,0,0,0
"6B7",0,0,0,0,0,0,0,0,0
"6B8",0,0,0,0,0,0,0,0,0
"6C1",1,1,1,0,0,1,0,1,0
"6C2",1,1,1,1,0,0,0,1,1
"6C3",1,1,1,1,1,0,0,1,1
"6C4",1,1,0,0,0,0,0,1,0
"6C5",1,1,1,0,1,0,0,0,0
"6C6",0,1,0,0,0,0,0,0,0
"6C7",0,0,0,0,0,0,0,0,0
"6C8",0,0,0,0,0,0,0,0,0
"6D1",1,1,0,1,1,1,0,1,0
"6D2",1,1,1,0,1,0,0,1,0
"6D3",0,1,0,0,0,0,0,0,0
"6D4",1,1,0,0,0,0,0,0,0
"6D5",1,0,1,0,0,0,0,0,0
"6D6",1,1,0,0,0,0,0,0,0
"6D7",1,0,0,0,0,0,0,0,0
"6D8",0,1,1,0,0,0,0,0,0
"6E1",1,0,0,0,0,0,0,1,0
"6E2",1,1,0,0,0,0,0,0,0
"6E3",1,0,0,0,0,0,1,0,0
"6E4",1,1,0,0,0,0,0,0,0
"6E5",0,0,0,0,0,0,0,0,0
"6E6",1,1,0,0,0,0,0,0,0
"6E7",1,1,0,0,0,0,1,0,0
"6E8",1,1,0,0,0,0,1,0,0
"6F1",1,0,0,0,0,0,0,0,0
"6F2",1,1,1,0,0,0,0,1,0
"6F3",1,0,1,1,0,0,0,1,0
"6F4",1,1,0,0,0,0,0,1,0
"6F5",1,1,1,0,1,0,1,0,0
"6F6",1,1,1,0,1,0,0,0,0
"6F7",1,0,0,0,0,0,0,0,0
"6F8",0,0,0,0,0,0,0,0,0
"6G1",1,1,1,0,0,0,0,1,0
"6G2",1,0,0,0,0,0,0,0,0
"6G3",1,0,1,0,0,0,0,1,0
"6G4",1,0,0,0,0,0,0,1,0
"6G5",0,0,0,0,0,0,0,0,0
"6G6",1,0,0,0,1,0,0,0,0
"6G7",1,1,0,0,0,0,0,0,0
"6G8",1,0,0,0,0,0,0,0,0
"6H1",1,1,0,0,0,1,0,0,0
"6H2",0,1,1,0,0,0,1,1,0
"6H3",1,1,1,1,0,0,0,1,0
"6H4",1,0,0,0,0,0,0,0,0
"6H5",1,1,1,1,1,0,0,1,0
"6H6",1,0,1,0,1,0,0,1,0
"6H7",1,0,0,0,0,0,0,1,0
"6H8",1,1,1,1,0,0,0,1,0
