"Cnum","Rlet","RC","posy","posx","ttype","cam","PEMAgrid"
1,"A","A1",280,0,"tomahawk",1,0
1,"B","B1",240,0,"tomahawk",1,0
1,"G","G1",40,0,"tomahawk",1,0
1,"C","C1",200,0,"tomahawk",1,0
1,"D","D1",160,0,"tomahawk",1,0
1,"F","F1",80,0,"tomahawk",1,0
1,"H","H1",0,0,"tomahawk",1,0
1,"E","E1",120,0,"tomahawk",1,0
2,"B","B2",240,40,"tomahawk",1,0
2,"G","G2",40,40,"tomahawk",1,0
2,"H","H2",0,40,"tomahawk",1,0
2,"E","E2",120,40,"tomahawk",1,0
2,"F","F2",80,40,"tomahawk",1,0
2,"D","D2",160,40,"tomahawk",1,0
2,"C","C2",200,40,"tomahawk",1,0
2,"A","A2",280,40,"tomahawk",1,0
3,"H","H3",0,80,"tomahawk",1,0
3,"B","B3",240,80,"tomahawk",1,0
3,"A","A3",280,80,"tomahawk",1,0
3,"F","F3",80,80,"tomahawk",1,0
3,"E","E3",120,80,"tomahawk",1,0
3,"C","C3",200,80,"tomahawk",1,0
3,"D","D3",160,80,"tomahawk",1,0
3,"G","G3",40,80,"tomahawk",1,0
4,"B","B4",240,120,"tomahawk",1,0
4,"D","D4",160,120,"tomahawk",1,1
4,"A","A4",280,120,"tomahawk",1,0
4,"E","E4",120,120,"tomahawk",1,1
4,"C","C4",200,120,"tomahawk",1,0
4,"H","H4",0,120,"tomahawk",1,0
4,"F","F4",80,120,"tomahawk",1,1
4,"G","G4",40,120,"tomahawk",1,0
5,"F","F5",80,160,"tomahawk",1,1
5,"G","G5",40,160,"tomahawk",1,0
5,"E","E5",120,160,"tomahawk",1,1
5,"B","B5",240,160,"tomahawk",1,0
5,"D","D5",160,160,"tomahawk",1,1
5,"H","H5",0,160,"tomahawk",1,0
5,"A","A5",280,160,"tomahawk",1,0
5,"C","C5",200,160,"tomahawk",1,0
6,"A","A6",280,200,"tomahawk",1,0
6,"C","C6",200,200,"tomahawk",1,0
6,"D","D6",160,200,"tomahawk",1,1
6,"G","G6",40,200,"tomahawk",1,0
6,"B","B6",240,200,"tomahawk",1,0
6,"E","E6",120,200,"tomahawk",1,1
6,"F","F6",80,200,"tomahawk",1,1
6,"H","H6",0,200,"tomahawk",1,0
7,"D","D7",160,240,"tomahawk",1,0
7,"E","E7",120,240,"tomahawk",1,0
7,"C","C7",200,240,"tomahawk",1,0
7,"F","F7",80,240,"tomahawk",1,0
7,"G","G7",40,240,"tomahawk",1,0
7,"B","B7",240,240,"tomahawk",1,0
7,"A","A7",280,240,"tomahawk",1,0
7,"H","H7",0,240,"tomahawk",1,0
8,"C","C8",200,280,"tomahawk",1,0
8,"B","B8",240,280,"tomahawk",1,0
8,"G","G8",40,280,"tomahawk",1,0
8,"E","E8",120,280,"tomahawk",1,0
8,"F","F8",80,280,"tomahawk",1,0
8,"A","A8",280,280,"tomahawk",1,0
8,"H","H8",0,280,"tomahawk",1,0
8,"D","D8",160,280,"tomahawk",1,0
1,"P","P1",160,120,"sherman",0,0
1,"Q","Q1",150,120,"sherman",0,0
1,"R","R1",140,120,"sherman",1,1
1,"W","W1",90,120,"sherman",0,0
1,"S","S1",130,120,"sherman",0,0
1,"U","U1",110,120,"sherman",0,0
1,"V","V1",100,120,"sherman",1,1
1,"T","T1",120,120,"sherman",0,0
1,"Y","Y1",70,120,"sherman",0,0
1,"X","X1",80,120,"sherman",0,0
2,"R","R2",140,130,"sherman",0,0
