"mean","sd","2.5%","50%","97.5%","Rhat","n.eff","param","model","sp"
"lam0[1]",0.056,0.012,0.035,0.055,0.084,1,6000,"lam0[1]","SCR_random","PEMA"
"lam0[2]",0.053,0.008,0.038,0.052,0.071,1.01,359,"lam0[2]","SCR_random","PEMA"
"lam0[3]",0.095,0.018,0.066,0.094,0.135,1,6000,"lam0[3]","SCR_random","PEMA"
"lam0[4]",0.04,0.011,0.022,0.039,0.064,1,1007,"lam0[4]","SCR_random","PEMA"
"lam0[5]",0.084,0.013,0.061,0.083,0.11,1,1509,"lam0[5]","SCR_random","PEMA"
"lam0[6]",0.075,0.013,0.052,0.074,0.105,1.01,388,"lam0[6]","SCR_random","PEMA"
"lam0[7]",0.074,0.015,0.049,0.073,0.109,1.01,452,"lam0[7]","SCR_random","PEMA"
"lam0[8]",0.049,0.015,0.023,0.047,0.082,1.01,365,"lam0[8]","SCR_random","PEMA"
"sigma[1]",14.666,1.488,12.206,14.519,17.996,1,2564,"sigma[1]","SCR_random","PEMA"
"sigma[2]",13.61,1.027,11.898,13.532,15.872,1.01,315,"sigma[2]","SCR_random","PEMA"
"sigma[3]",10.707,0.868,9.107,10.659,12.469,1,6000,"sigma[3]","SCR_random","PEMA"
"sigma[4]",18.149,2.745,13.918,17.783,24.703,1.01,216,"sigma[4]","SCR_random","PEMA"
"sigma[5]",13.007,0.931,11.332,12.951,15.031,1,4641,"sigma[5]","SCR_random","PEMA"
"sigma[6]",11.889,0.961,10.152,11.838,13.946,1.01,382,"sigma[6]","SCR_random","PEMA"
"sigma[7]",10.269,0.988,8.588,10.176,12.464,1.01,212,"sigma[7]","SCR_random","PEMA"
"sigma[8]",11.909,1.715,9.168,11.706,15.93,1,1301,"sigma[8]","SCR_random","PEMA"
"psim[1]",0.145,0.034,0.088,0.142,0.22,1,3185,"psim[1]","SCR_random","PEMA"
"psim[2]",0.447,0.063,0.331,0.444,0.584,1.01,294,"psim[2]","SCR_random","PEMA"
"psim[3]",0.3,0.048,0.215,0.298,0.401,1,816,"psim[3]","SCR_random","PEMA"
"psim[4]",0.126,0.033,0.071,0.123,0.2,1.02,132,"psim[4]","SCR_random","PEMA"
"psim[5]",0.274,0.044,0.195,0.271,0.365,1,6000,"psim[5]","SCR_random","PEMA"
"psim[6]",0.314,0.052,0.222,0.31,0.425,1.01,315,"psim[6]","SCR_random","PEMA"
"psim[7]",0.525,0.091,0.362,0.519,0.725,1.01,299,"psim[7]","SCR_random","PEMA"
"psim[8]",0.436,0.139,0.241,0.406,0.79,1.05,82,"psim[8]","SCR_random","PEMA"
"N[1]",87.757,18.812,56.975,86,130,1,5062,"N[1]","SCR_random","PEMA"
"N[2]",272.93,36.718,208,271,355,1.01,276,"N[2]","SCR_random","PEMA"
"N[3]",182.92,27.069,136,181,240,1,753,"N[3]","SCR_random","PEMA"
"N[4]",76.293,18.6,46,74,116,1.02,144,"N[4]","SCR_random","PEMA"
"N[5]",166.596,24.334,123,165,217,1,6000,"N[5]","SCR_random","PEMA"
"N[6]",191.208,29.424,140,189,255,1.01,327,"N[6]","SCR_random","PEMA"
"N[7]",320.359,54.283,225,317,441,1.01,302,"N[7]","SCR_random","PEMA"
"N[8]",265.781,84.335,150,247.5,482,1.05,82,"N[8]","SCR_random","PEMA"
"D[1]",17.471,3.745,11.343,17.121,25.881,1,5062,"D[1]","SCR_random","PEMA"
"D[2]",54.336,7.31,41.41,53.952,70.675,1.01,276,"D[2]","SCR_random","PEMA"
"D[3]",36.417,5.389,27.076,36.034,47.78,1,753,"D[3]","SCR_random","PEMA"
"D[4]",15.189,3.703,9.158,14.732,23.094,1.02,144,"D[4]","SCR_random","PEMA"
"D[5]",33.167,4.845,24.487,32.849,43.201,1,6000,"D[5]","SCR_random","PEMA"
"D[6]",38.067,5.858,27.872,37.627,50.767,1.01,327,"D[6]","SCR_random","PEMA"
"D[7]",63.779,10.807,44.794,63.11,87.796,1.01,302,"D[7]","SCR_random","PEMA"
"D[8]",52.913,16.79,29.863,49.274,95.959,1.05,82,"D[8]","SCR_random","PEMA"
"lam0[1]1",0.058,0.008,0.042,0.058,0.074,1.02,163,"lam0[1]","SCR_random","GLSA"
"lam0[2]1",0.065,0.009,0.05,0.064,0.084,1.02,99,"lam0[2]","SCR_random","GLSA"
"lam0[3]1",0.063,0.008,0.049,0.063,0.079,1.02,132,"lam0[3]","SCR_random","GLSA"
"lam0[4]1",0.064,0.011,0.045,0.063,0.089,1.01,165,"lam0[4]","SCR_random","GLSA"
"lam0[5]1",0.063,0.009,0.047,0.062,0.082,1.02,142,"lam0[5]","SCR_random","GLSA"
