"dhat","nhat","model","sp","grid"
"var1",17.5218572220509,88.0119977263264,"SCR_random","PEMA",1
"var2",52.749161805579,264.958163399236,"SCR_random","PEMA",2
"var3",34.2566648507451,172.0706584209,"SCR_random","PEMA",3
"var4",13.1243022197873,65.9231520089022,"SCR_random","PEMA",4
"var5",30.8869569273005,155.144671504207,"SCR_random","PEMA",5
"var6",38.2394375712015,192.076059627808,"SCR_random","PEMA",6
"var7",62.8400993741138,315.644775159815,"SCR_random","PEMA",7
"var8",49.3772243366558,248.020977512645,"SCR_random","PEMA",8
"var11",2.38397139777016,133.205444859907,"SCR_random","GLSA",1
"var21",2.72081379554133,152.02666120703,"SCR_random","GLSA",2
"var31",3.02141995629726,168.823161957239,"SCR_random","GLSA",3
"var41",1.14432520947033,63.9396717320005,"SCR_random","GLSA",4
"var51",1.68129611871727,93.9431562159041,"SCR_random","GLSA",5
"var61",2.59193589640658,144.825552207606,"SCR_random","GLSA",6
"var71",1.62895531212186,91.0185907477992,"SCR_random","GLSA",7
"var81",2.41693093955241,135.047073677094,"SCR_random","GLSA",8
"var9",1.1451381863159,63.9850971689315,"SCR_random","GLSA",9
"var12",2.23944441856226,116.952272176439,"SCR_random","TATO",1
"var22",3.74951483891972,195.813870769101,"SCR_random","TATO",2
"var32",3.88460394469905,202.868735688374,"SCR_random","TATO",3
"var42",2.23890552249328,116.924128981988,"SCR_random","TATO",4
"var52",6.08629130975301,317.849191479516,"SCR_random","TATO",5
"var62",1.68497836427509,87.9959541021457,"SCR_random","TATO",6
"var72",5.53567985173912,289.094175026619,"SCR_random","TATO",7
"var82",8.5922909641281,448.721987974595,"SCR_random","TATO",8
"var91",8.29659346394824,433.279544198683,"SCR_random","TATO",9
