"mean","sd","X2.5.","X50.","X97.5.","overlap0","f","Rhat","n.eff","param","sp","grid","mode"
"lam0",0.06,0.016,0.034,0.058,0.095,FALSE,1,1.002,2447,"lam0","GLSA","1",NA
"sigma",35.249,4.035,28.602,34.836,44.446,FALSE,1,1.009,258,"sigma","GLSA","1",NA
"psim",0.301,0.06,0.202,0.295,0.436,FALSE,1,1.011,235,"psim","GLSA","1",NA
"N",83.769,15.133,59,82,118,FALSE,1,1.011,224,"N","GLSA","1","74.03347"
"D",2.636,0.476,1.857,2.58,3.713,FALSE,1,1.011,224,"D","GLSA","1","2.32978"
"deviance",313.91,19.66,279.089,312.37,355.217,FALSE,1,1.002,1515,"deviance","GLSA","1",NA
"lam01",0.083,0.017,0.054,0.081,0.118,FALSE,1,1.001,6000,"lam0","GLSA","2",NA
"sigma1",34.632,3.174,29.312,34.35,41.588,FALSE,1,1.002,1255,"sigma","GLSA","2",NA
"psim1",0.271,0.049,0.184,0.268,0.376,FALSE,1,1.005,407,"psim","GLSA","2",NA
"N1",83.652,13.246,61,83,113,FALSE,1,1.004,483,"N","GLSA","2","76.95171"
"D1",2.591,0.41,1.889,2.571,3.5,FALSE,1,1.004,483,"D","GLSA","2","2.38325"
"deviance1",387.248,18.359,353.955,386.335,425.826,FALSE,1,1,6000,"deviance","GLSA","2",NA
"lam02",0.066,0.013,0.043,0.064,0.094,FALSE,1,1.004,724,"lam0","GLSA","3",NA
"sigma2",39.962,3.57,33.727,39.717,47.837,FALSE,1,1.007,368,"sigma","GLSA","3",NA
"psim2",0.265,0.044,0.185,0.263,0.359,FALSE,1,1,4882,"psim","GLSA","3",NA
"N2",102.829,14.74,77,102,135,FALSE,1,1,2865,"N","GLSA","3","103.9642"
"D2",3.053,0.438,2.286,3.028,4.008,FALSE,1,1,2865,"D","GLSA","3","3.086584"
"deviance2",492.959,21.02,454.068,491.992,536.9,FALSE,1,1.002,1185,"deviance","GLSA","3",NA
"lam03",0.031,0.013,0.012,0.029,0.06,FALSE,1,1.004,935,"lam0","GLSA","4",NA
"sigma3",48.883,10.977,33.754,46.737,77.822,FALSE,1,1.01,400,"sigma","GLSA","4",NA
"psim3",0.359,0.128,0.172,0.339,0.662,FALSE,1,1.022,144,"psim","GLSA","4",NA
"N3",39.228,13.497,20,37,73,FALSE,1,1.023,145,"N","GLSA","4","36.97525"
"D3",1.097,0.377,0.559,1.035,2.042,FALSE,1,1.023,145,"D","GLSA","4","1.034117"
"deviance3",148.825,12.631,126.959,147.837,175.913,FALSE,1,1.002,1073,"deviance","GLSA","4",NA
"lam04",0.073,0.018,0.044,0.072,0.113,FALSE,1,1.001,6000,"lam0","GLSA","5",NA
"sigma4",37.322,4.302,30.362,36.967,46.762,FALSE,1,1.002,1102,"sigma","GLSA","5",NA
"psim4",0.341,0.075,0.21,0.336,0.506,FALSE,1,1.001,1424,"psim","GLSA","5",NA
"N4",68.021,13.628,45,67,98,FALSE,1,1.001,1369,"N","GLSA","5","64.05684"
"D4",1.668,0.334,1.103,1.643,2.403,FALSE,1,1.001,1369,"D","GLSA","5","1.57063"
