"sp","param","est","model.x","t","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","model.y","g"
"1","PEMA","D[1]",44.936,"CAM-SC_noinfo_multigrid_t0",0,43.529,8.384,28.571,43.082,61.53,1.03,218,"CAM-SC_noinfo_multigrid",1
"2","PEMA","D[2]",113.288,"CAM-SC_noinfo_multigrid_t0",0,116.308,14.923,89.426,115.298,147.807,1.05,125,"CAM-SC_noinfo_multigrid",2
"3","PEMA","D[3]",147.02,"CAM-SC_noinfo_multigrid_t0",0,142.064,15.617,112.711,141.845,172.891,1.12,96,"CAM-SC_noinfo_multigrid",3
"4","PEMA","D[4]",88.457,"CAM-SC_noinfo_multigrid_t0",0,88.015,12.097,66.254,87.514,112.598,1.1,181,"CAM-SC_noinfo_multigrid",4
"5","PEMA","D[5]",168.693,"CAM-SC_noinfo_multigrid_t0",0,176.869,20.127,138.524,175.591,216.932,1.13,47,"CAM-SC_noinfo_multigrid",5
"6","PEMA","D[6]",63.501,"CAM-SC_noinfo_multigrid_t0",0,63.335,9.641,45.782,62.992,83.127,1.02,223,"CAM-SC_noinfo_multigrid",6
"7","PEMA","D[7]",113.953,"CAM-SC_noinfo_multigrid_t0",0,115.884,15.144,90.439,114.286,150.115,1.12,103,"CAM-SC_noinfo_multigrid",7
"8","PEMA","D[8]",212.967,"CAM-SC_noinfo_multigrid_t0",0,208.053,11.549,179.753,210.236,224.072,1.02,52,"CAM-SC_noinfo_multigrid",8
"9","PEMA","lam0",4.995,"CAM-SC_noinfo_multigrid_t0",0,4.941,0.059,4.769,4.959,4.999,1,774,"CAM-SC_noinfo_multigrid",NA
"10","PEMA","N[1]",399.481,"CAM-SC_noinfo_multigrid_t0",0,386.972,74.534,254,383,547,1.03,218,"CAM-SC_noinfo_multigrid",1
"11","PEMA","N[2]",1007.134,"CAM-SC_noinfo_multigrid_t0",0,1033.977,132.663,795,1025,1314,1.05,125,"CAM-SC_noinfo_multigrid",2
"12","PEMA","N[3]",1307.004,"CAM-SC_noinfo_multigrid_t0",0,1262.947,138.839,1002,1261,1537,1.12,96,"CAM-SC_noinfo_multigrid",3
"13","PEMA","N[4]",786.387,"CAM-SC_noinfo_multigrid_t0",0,782.452,107.539,589,778,1001,1.1,181,"CAM-SC_noinfo_multigrid",4
"14","PEMA","N[5]",1499.681,"CAM-SC_noinfo_multigrid_t0",0,1572.362,178.933,1231.475,1561,1928.525,1.13,47,"CAM-SC_noinfo_multigrid",5
"15","PEMA","N[6]",564.525,"CAM-SC_noinfo_multigrid_t0",0,563.051,85.71,407,560,739,1.02,223,"CAM-SC_noinfo_multigrid",6
"16","PEMA","N[7]",1013.04,"CAM-SC_noinfo_multigrid_t0",0,1030.208,134.63,804,1016,1334.525,1.12,103,"CAM-SC_noinfo_multigrid",7
"17","PEMA","N[8]",1893.273,"CAM-SC_noinfo_multigrid_t0",0,1849.591,102.671,1598,1869,1992,1.02,52,"CAM-SC_noinfo_multigrid",8
"18","PEMA","psi[1]",0.175,"CAM-SC_noinfo_multigrid_t0",0,0.194,0.038,0.125,0.191,0.276,1.03,220,"CAM-SC_noinfo_multigrid",1
"19","PEMA","psi[2]",0.504,"CAM-SC_noinfo_multigrid_t0",0,0.517,0.067,0.395,0.512,0.658,1.05,121,"CAM-SC_noinfo_multigrid",2
"20","PEMA","psi[3]",0.625,"CAM-SC_noinfo_multigrid_t0",0,0.631,0.07,0.499,0.63,0.769,1.12,99,"CAM-SC_noinfo_multigrid",3
"21","PEMA","psi[4]",0.386,"CAM-SC_noinfo_multigrid_t0",0,0.391,0.055,0.292,0.389,0.501,1.1,183,"CAM-SC_noinfo_multigrid",4
"22","PEMA","psi[5]",0.77,"CAM-SC_noinfo_multigrid_t0",0,0.786,0.09,0.615,0.781,0.964,1.13,48,"CAM-SC_noinfo_multigrid",5
"23","PEMA","psi[6]",0.283,"CAM-SC_noinfo_multigrid_t0",0,0.282,0.044,0.201,0.28,0.371,1.02,213,"CAM-SC_noinfo_multigrid",6
"24","PEMA","psi[7]",0.476,"CAM-SC_noinfo_multigrid_t0",0,0.515,0.068,0.399,0.508,0.667,1.12,103,"CAM-SC_noinfo_multigrid",7
"25","PEMA","psi[8]",0.945,"CAM-SC_noinfo_multigrid_t0",0,0.924,0.052,0.798,0.934,0.996,1.02,53,"CAM-SC_noinfo_multigrid",8
"26","PEMA","sigma",6.152,"CAM-SC_noinfo_multigrid_t0",0,6.141,0.249,5.674,6.147,6.623,1.23,41,"CAM-SC_noinfo_multigrid",NA
"27","PEMA","D[1]",73.741,"CAM-SC_noinfo_multigrid_t15",15,73.487,13.459,45.894,73.341,100.45,1.16,142,"CAM-SC_noinfo_multigrid",1
"28","PEMA","D[2]",140.73,"CAM-SC_noinfo_multigrid_t15",15,138.813,23.365,83.24,139.933,181.89,1.21,64,"CAM-SC_noinfo_multigrid",2
"29","PEMA","D[3]",177.114,"CAM-SC_noinfo_multigrid_t15",15,173.242,26.681,103.878,175.366,220.585,1.34,38,"CAM-SC_noinfo_multigrid",3
"30","PEMA","D[4]",141.654,"CAM-SC_noinfo_multigrid_t15",15,144.898,23.713,95.442,144.882,188.414,1.49,60,"CAM-SC_noinfo_multigrid",4
"31","PEMA","D[5]",198.71,"CAM-SC_noinfo_multigrid_t15",15,184.607,25.164,124.972,188.414,221.597,1.25,40,"CAM-SC_noinfo_multigrid",5
"32","PEMA","D[6]",100.433,"CAM-SC_noinfo_multigrid_t15",15,96.021,15.907,61.808,96.513,126.097,1.09,136,"CAM-SC_noinfo_multigrid",6
"33","PEMA","D[7]",163.433,"CAM-SC_noinfo_multigrid_t15",15,152.21,23.19,96.625,155.118,193.026,1.15,68,"CAM-SC_noinfo_multigrid",7
"34","PEMA","D[8]",224.073,"CAM-SC_noinfo_multigrid_t15",15,196.158,23.937,129.921,203.037,224.072,1.08,34,"CAM-SC_noinfo_multigrid",8
"35","PEMA","lam0",1.203,"CAM-SC_noinfo_multigrid_t15",15,1.269,0.292,0.254,1.3,1.673,1.52,33,"CAM-SC_noinfo_multigrid",NA
"36","PEMA","N[1]",655.558,"CAM-SC_noinfo_multigrid_t15",15,653.302,119.649,408,652,893,1.16,142,"CAM-SC_noinfo_multigrid",1
"37","PEMA","N[2]",1251.089,"CAM-SC_noinfo_multigrid_t15",15,1234.046,207.716,740,1244,1617,1.21,64,"CAM-SC_noinfo_multigrid",2
"38","PEMA","N[3]",1574.539,"CAM-SC_noinfo_multigrid_t15",15,1540.125,237.194,923.475,1559,1961,1.34,38,"CAM-SC_noinfo_multigrid",3
"39","PEMA","N[4]",1259.304,"CAM-SC_noinfo_multigrid_t15",15,1288.147,210.809,848.475,1288,1675,1.49,60,"CAM-SC_noinfo_multigrid",4
"40","PEMA","N[5]",1766.535,"CAM-SC_noinfo_multigrid_t15",15,1641.157,223.711,1111,1675,1970,1.25,40,"CAM-SC_noinfo_multigrid",5
"41","PEMA","N[6]",892.853,"CAM-SC_noinfo_multigrid_t15",15,853.631,141.413,549.475,858,1121,1.09,136,"CAM-SC_noinfo_multigrid",6
"42","PEMA","N[7]",1452.919,"CAM-SC_noinfo_multigrid_t15",15,1353.143,206.16,859,1379,1716,1.15,68,"CAM-SC_noinfo_multigrid",7
"43","PEMA","N[8]",1992.01,"CAM-SC_noinfo_multigrid_t15",15,1743.847,212.801,1155,1805,1992,1.08,34,"CAM-SC_noinfo_multigrid",8
"44","PEMA","psi[1]",0.333,"CAM-SC_noinfo_multigrid_t15",15,0.327,0.061,0.204,0.327,0.447,1.15,147,"CAM-SC_noinfo_multigrid",1
"45","PEMA","psi[2]",0.677,"CAM-SC_noinfo_multigrid_t15",15,0.617,0.105,0.369,0.621,0.809,1.2,64,"CAM-SC_noinfo_multigrid",2
"46","PEMA","psi[3]",0.806,"CAM-SC_noinfo_multigrid_t15",15,0.77,0.119,0.459,0.779,0.981,1.34,41,"CAM-SC_noinfo_multigrid",3
"47","PEMA","psi[4]",0.619,"CAM-SC_noinfo_multigrid_t15",15,0.644,0.106,0.427,0.643,0.838,1.49,64,"CAM-SC_noinfo_multigrid",4
"48","PEMA","psi[5]",0.875,"CAM-SC_noinfo_multigrid_t15",15,0.82,0.112,0.559,0.838,0.985,1.25,39,"CAM-SC_noinfo_multigrid",5
"49","PEMA","psi[6]",0.446,"CAM-SC_noinfo_multigrid_t15",15,0.427,0.071,0.273,0.429,0.562,1.09,129,"CAM-SC_noinfo_multigrid",6
"50","PEMA","psi[7]",0.669,"CAM-SC_noinfo_multigrid_t15",15,0.676,0.103,0.43,0.689,0.858,1.14,72,"CAM-SC_noinfo_multigrid",7
"51","PEMA","psi[8]",0.997,"CAM-SC_noinfo_multigrid_t15",15,0.872,0.106,0.579,0.902,0.996,1.08,34,"CAM-SC_noinfo_multigrid",8
"52","PEMA","sigma",6.55,"CAM-SC_noinfo_multigrid_t15",15,6.989,2.308,5.53,6.54,14.747,1.81,25,"CAM-SC_noinfo_multigrid",NA
"53","PEMA","D[1]",102.763,"CAM-SC_noinfo_multigrid_t60",60,97.539,23.861,50.394,99.325,141.62,1.08,69,"CAM-SC_noinfo_multigrid",1
"54","PEMA","D[2]",149.982,"CAM-SC_noinfo_multigrid_t60",60,131.765,29.282,70.641,136.895,178.515,1.06,51,"CAM-SC_noinfo_multigrid",2
"55","PEMA","D[3]",197.855,"CAM-SC_noinfo_multigrid_t60",60,174.75,33.582,95.838,184.814,215.973,1.19,35,"CAM-SC_noinfo_multigrid",3
"56","PEMA","D[4]",179.039,"CAM-SC_noinfo_multigrid_t60",60,162.09,32.859,85.655,168.729,213.498,1.12,42,"CAM-SC_noinfo_multigrid",4
"57","PEMA","D[5]",208.638,"CAM-SC_noinfo_multigrid_t60",60,179.977,36.435,98.088,191.451,223.285,1.23,25,"CAM-SC_noinfo_multigrid",5
"58","PEMA","D[6]",130.809,"CAM-SC_noinfo_multigrid_t60",60,120.187,24.695,65.692,125.647,159.505,1.07,68,"CAM-SC_noinfo_multigrid",6
"59","PEMA","D[7]",153.93,"CAM-SC_noinfo_multigrid_t60",60,145.603,32.05,77.615,151.631,198.875,1.1,48,"CAM-SC_noinfo_multigrid",7
"60","PEMA","D[8]",222.292,"CAM-SC_noinfo_multigrid_t60",60,180.495,36.006,97.638,191.339,223.735,1.09,27,"CAM-SC_noinfo_multigrid",8
"61","PEMA","lam0",0.275,"CAM-SC_noinfo_multigrid_t60",60,0.267,0.078,0.102,0.278,0.385,1.02,27,"CAM-SC_noinfo_multigrid",NA
"62","PEMA","N[1]",913.562,"CAM-SC_noinfo_multigrid_t60",60,867.119,212.122,448,883,1259,1.08,69,"CAM-SC_noinfo_multigrid",1
