"param","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","model","g","sp","t","mode"
"D",66.233,52.692,4.837,55.118,164.904,3.81,39,"CAM-SC_noinfo_separate",1,"PEMA",0,7.579
"lam0",6.616,2.019,3.593,6.419,11.403,1.54,101,"CAM-SC_noinfo_separate",1,"PEMA",0,6.484
"N",588.812,468.431,43,490,1466,3.81,39,"CAM-SC_noinfo_separate",1,"PEMA",0,67.374
"psi",0.295,0.234,0.021,0.246,0.733,3.81,52,"CAM-SC_noinfo_separate",1,"PEMA",0,0.034
"sigma",6.516,3.567,2.507,5.277,13.783,5.95,30,"CAM-SC_noinfo_separate",1,"PEMA",0,2.86
"D",61.048,36.151,16.31,56.355,143.87,2.65,44,"CAM-SC_noinfo_separate",2,"PEMA",0,21.319
"lam0",28.863,14.853,14.24,23.75,69.869,1.93,32,"CAM-SC_noinfo_separate",2,"PEMA",0,19.941
"N",542.72,321.384,145,501,1279,2.65,44,"CAM-SC_noinfo_separate",2,"PEMA",0,189.525
"psi",0.272,0.161,0.072,0.251,0.64,2.63,47,"CAM-SC_noinfo_separate",2,"PEMA",0,0.103
"sigma",4.752,1.106,3.101,4.547,7.597,2.49,14,"CAM-SC_noinfo_separate",2,"PEMA",0,4.467
"D",63.258,37.945,11.024,66.479,138.358,3.59,58,"CAM-SC_noinfo_separate",3,"PEMA",0,14.451
"lam0",12.823,3.91,6.337,12.306,20.616,3.51,44,"CAM-SC_noinfo_separate",3,"PEMA",0,10.527
"N",562.367,337.328,98,591,1230,3.59,58,"CAM-SC_noinfo_separate",3,"PEMA",0,128.468
"psi",0.281,0.168,0.049,0.295,0.614,3.57,61,"CAM-SC_noinfo_separate",3,"PEMA",0,0.067
"sigma",7.346,2.573,4.183,6.575,12.305,7.74,18,"CAM-SC_noinfo_separate",3,"PEMA",0,4.806
"D",147.595,50.36,55.793,153.093,219.91,1.55,17,"CAM-SC_noinfo_separate",4,"PEMA",0,216.673
"lam0",7.533,1.835,4.852,7.109,11.849,1.24,39,"CAM-SC_noinfo_separate",4,"PEMA",0,6.168
"N",1312.12,447.7,496,1361,1955,1.55,17,"CAM-SC_noinfo_separate",4,"PEMA",0,1926.224
"psi",0.656,0.224,0.249,0.68,0.977,1.55,17,"CAM-SC_noinfo_separate",4,"PEMA",0,0.964
"sigma",4.196,1.016,2.89,4.05,6.853,1.06,19,"CAM-SC_noinfo_separate",4,"PEMA",0,3.666
"D",44.635,20.735,12.373,47.582,80.652,3.36,136,"CAM-SC_noinfo_separate",5,"PEMA",0,17.477
"lam0",17.101,5.878,9.241,15.557,31.53,2.71,29,"CAM-SC_noinfo_separate",5,"PEMA",0,15.128
"N",396.804,184.332,110,423,717,3.36,136,"CAM-SC_noinfo_separate",5,"PEMA",0,155.372
"psi",0.198,0.092,0.055,0.212,0.36,3.32,145,"CAM-SC_noinfo_separate",5,"PEMA",0,0.073
"sigma",7.633,1.554,5.468,7.124,10.253,3.82,37,"CAM-SC_noinfo_separate",5,"PEMA",0,6.849
"D",48.553,26.671,15.861,43.195,114.623,2.13,37,"CAM-SC_noinfo_separate",6,"PEMA",0,23.97
"lam0",7.394,2.184,4.177,6.984,12.821,1.47,49,"CAM-SC_noinfo_separate",6,"PEMA",0,6.527
"N",431.639,237.104,141,384,1019,2.13,37,"CAM-SC_noinfo_separate",6,"PEMA",0,213.092
"psi",0.216,0.119,0.07,0.192,0.512,2.12,41,"CAM-SC_noinfo_separate",6,"PEMA",0,0.109
"sigma",6.598,1.475,4.02,6.507,9.282,2.18,17,"CAM-SC_noinfo_separate",6,"PEMA",0,6.367
"D",88.415,46.249,19.798,85.152,163.78,4.19,32,"CAM-SC_noinfo_separate",7,"PEMA",0,27.937
"lam0",8.662,2.478,4.386,8.644,13.746,1.91,40,"CAM-SC_noinfo_separate",7,"PEMA",0,9.101
"N",786.006,411.158,176,757,1456,4.19,32,"CAM-SC_noinfo_separate",7,"PEMA",0,248.361
"psi",0.393,0.206,0.086,0.38,0.728,4.17,34,"CAM-SC_noinfo_separate",7,"PEMA",0,0.132
"sigma",6.386,2.148,3.469,5.851,10.388,4.77,16,"CAM-SC_noinfo_separate",7,"PEMA",0,5.705
"D",97.139,55.913,32.508,75.703,208.211,3.93,10,"CAM-SC_noinfo_separate",8,"PEMA",0,40.177
"lam0",8.326,2.677,3.644,8.152,13.763,1.84,17,"CAM-SC_noinfo_separate",8,"PEMA",0,7.762
"N",863.566,497.07,289,673,1851,3.93,10,"CAM-SC_noinfo_separate",8,"PEMA",0,357.178
"psi",0.432,0.249,0.144,0.336,0.925,3.92,11,"CAM-SC_noinfo_separate",8,"PEMA",0,0.203
"sigma",8.325,1.449,5.256,8.649,10.621,2.86,12,"CAM-SC_noinfo_separate",8,"PEMA",0,9.044
"D",111.628,48.35,17.548,112.148,201.125,2.86,14,"CAM-SC_noinfo_separate",1,"PEMA",15,108.565
"lam0",2.45,0.727,1.356,2.337,4.243,1.03,131,"CAM-SC_noinfo_separate",1,"PEMA",15,2.41
"N",992.371,429.834,156,997,1788,2.86,14,"CAM-SC_noinfo_separate",1,"PEMA",15,965.14
"psi",0.496,0.215,0.078,0.498,0.894,2.86,16,"CAM-SC_noinfo_separate",1,"PEMA",15,0.479
"sigma",4.591,1.783,2.665,4.117,10.704,2.28,44,"CAM-SC_noinfo_separate",1,"PEMA",15,3.561
"D",133.657,46.764,47.694,138.92,215.523,2.37,13,"CAM-SC_noinfo_separate",2,"PEMA",15,147.067
"lam0",3.155,0.939,1.762,2.985,5.38,1.11,69,"CAM-SC_noinfo_separate",2,"PEMA",15,2.644
"N",1188.214,415.736,424,1235,1916,2.37,13,"CAM-SC_noinfo_separate",2,"PEMA",15,1307.429
