"sp","g","t","m","a","sa","N","SE","LCI","UCI","model"
"DEER MOUSE",1,1,24.09,9.59931088596881,78400,22.4412738896725,5.60984679682441,13.8508788902099,36.3594814295329,"ste"
"DEER MOUSE",1,5,24.09,9.59931088596881,78400,63.9819360030517,10.5174794796922,46.4583986546614,88.1151364068348,"ste"
"DEER MOUSE",1,15,24.09,9.59931088596881,78400,142.753465987817,19.2448220254389,109.73597739317,185.705294978337,"ste"
"DEER MOUSE",1,30,24.09,9.59931088596881,78400,174.664600939329,22.7345225000283,135.479820347958,225.182781782119,"ste"
"DEER MOUSE",1,60,24.09,9.59931088596881,78400,220.006608029389,27.9385030814618,171.700757440681,281.902702690869,"ste"
"DEER MOUSE",1,1440,24.09,9.59931088596881,78400,260.435801988957,17.1354148805917,228.957665056735,296.241695777357,"tte"
"DEER MOUSE",2,1,24.09,9.59931088596881,78400,14.8591299547345,4.48134443133862,8.33378589923363,26.4938103379872,"ste"
"DEER MOUSE",2,5,24.09,9.59931088596881,78400,64.444385571001,10.5947413133682,46.7924567363041,88.7553063312802,"ste"
"DEER MOUSE",2,15,24.09,9.59931088596881,78400,106.428071155589,15.3626156761311,80.3189676381993,141.024401370817,"ste"
"DEER MOUSE",2,30,24.09,9.59931088596881,78400,158.491084565123,20.6315633718207,122.931413057424,204.336900242862,"ste"
"DEER MOUSE",2,60,24.09,9.59931088596881,78400,226.503081799295,28.3111222791675,177.455991970793,289.106304581825,"ste"
"DEER MOUSE",2,1440,24.09,9.59931088596881,78400,366.625124546147,23.7647731390335,322.926618166032,416.236923149423,"tte"
"DEER MOUSE",3,1,24.09,9.59931088596881,78400,34.1337858726234,7.11560869436435,22.7835529586114,51.1384392115948,"ste"
"DEER MOUSE",3,5,24.09,9.59931088596881,78400,84.3527728784062,13.0183917676076,62.4454850547386,113.945632515125,"ste"
"DEER MOUSE",3,15,24.09,9.59931088596881,78400,159.43850108651,20.7546521051466,123.666625541947,205.557768858911,"ste"
"DEER MOUSE",3,30,24.09,9.59931088596881,78400,208.547485028245,26.0653308879162,163.390757810571,266.184293985765,"ste"
"DEER MOUSE",3,60,24.09,9.59931088596881,78400,253.147705263031,31.3847525742694,198.721085036468,322.480931845646,"ste"
"DEER MOUSE",3,1440,24.09,9.59931088596881,78400,358.225498663464,20.8566914103332,319.623458478417,401.489641916733,"tte"
"DEER MOUSE",4,1,24.09,9.59931088596881,78400,48.8465736504443,8.91729092061903,34.2539130065963,69.6559180531814,"ste"
"DEER MOUSE",4,5,24.09,9.59931088596881,78400,90.9760951511384,13.8741991939474,67.5863304852471,122.460412179881,"ste"
"DEER MOUSE",4,15,24.09,9.59931088596881,78400,161.635369110801,21.2262033281286,125.092347913838,208.853642795001,"ste"
"DEER MOUSE",4,30,24.09,9.59931088596881,78400,211.078551830335,26.8123817645511,164.721436563912,270.481826604908,"ste"
"DEER MOUSE",4,60,24.09,9.59931088596881,78400,263.399731243247,32.425955250758,207.118840261804,334.973961476983,"ste"
"DEER MOUSE",4,1440,24.09,9.59931088596881,78400,331.29964771027,17.9146302391636,298.006695229849,368.312049124576,"tte"
"DEER MOUSE",5,1,24.09,9.59931088596881,78400,40.799413307361,8.00349570320019,27.8770638018704,59.7118885279868,"ste"
"DEER MOUSE",5,5,24.09,9.59931088596881,78400,84.4417390608525,12.8787665417308,62.7303960396438,113.667500060336,"ste"
"DEER MOUSE",5,15,24.09,9.59931088596881,78400,148.763750580558,20.0544671400539,114.357049717447,193.522424209742,"ste"
"DEER MOUSE",5,30,24.09,9.59931088596881,78400,208.711053371118,26.2967569844958,163.199009961003,266.91524543985,"ste"
"DEER MOUSE",5,60,24.09,9.59931088596881,78400,266.507082068646,33.3160504214799,208.790312538108,340.178736883591,"ste"
"DEER MOUSE",5,1440,24.09,9.59931088596881,78400,814.04903685868,43.5750386733333,733.024603930738,904.029456660856,"tte"
"DEER MOUSE",6,1,24.09,9.59931088596881,78400,27.2964740883702,6.26053449781064,17.5135379961628,42.5440877691486,"ste"
"DEER MOUSE",6,5,24.09,9.59931088596881,78400,74.0097321719185,11.8480078681024,54.1852457773387,101.087304811117,"ste"
"DEER MOUSE",6,15,24.09,9.59931088596881,78400,127.107890310144,17.2990413173194,97.4664794494082,165.763818190251,"ste"
"DEER MOUSE",6,30,24.09,9.59931088596881,78400,195.355283493128,25.2173925942715,151.844695147969,251.333685062168,"ste"
"DEER MOUSE",6,60,24.09,9.59931088596881,78400,221.333434777042,27.8836718430204,173.074156500524,283.049129579636,"ste"
"DEER MOUSE",6,1440,24.09,9.59931088596881,78400,343.178624378608,20.1174838946066,305.959393536119,384.925485925604,"tte"
"DEER MOUSE",7,1,24.09,9.59931088596881,78400,30.7473392085866,6.70908852328034,20.1477690440574,46.9232532068723,"ste"
"DEER MOUSE",7,5,24.09,9.59931088596881,78400,73.2262515500171,11.7267219068835,53.6058030130146,100.02804947749,"ste"
"DEER MOUSE",7,15,24.09,9.59931088596881,78400,130.520834977126,17.9295996245604,99.8376882991752,170.633842322919,"ste"
