"grid","sp","mean","sd","ncams","t","d"
"1",1,"PEMA",4.41666666666667,6.85829657306083,24,0,1
"2",2,"PEMA",29.6,44.2577676798096,25,0,1
"3",3,"PEMA",14.8333333333333,20.6685366147945,24,0,1
"4",4,"PEMA",11.68,15.1457364737847,25,0,1
"5",5,"PEMA",35.9583333333333,41.3589579873224,24,0,1
"6",6,"PEMA",13.88,15.0286393262996,25,0,1
"7",7,"PEMA",16.2,16.5227116418583,25,0,1
"8",8,"PEMA",115.6,64.3486596597008,25,0,1
"9",1,"GLOR",8.484375,15.0859886507789,64,0,1
"10",2,"GLOR",5.85483870967742,12.2110495167872,62,0,1
"11",3,"GLOR",9.38095238095238,13.48766290694,63,0,1
"12",4,"GLOR",3.5,7.50872508359125,64,0,1
"13",5,"GLOR",5.52380952380952,11.788262536971,63,0,1
"14",6,"GLOR",2.046875,6.35317615230541,64,0,1
"15",7,"GLOR",2,5.11456060270383,64,0,1
"16",8,"GLOR",5.87096774193548,12.9810503388817,62,0,1
"17",1,"TATO",10.328125,18.3874134724368,64,0,1
"18",2,"TATO",25.5483870967742,21.5898256390919,62,0,1
"19",3,"TATO",17.6190476190476,17.6456414900244,63,0,1
"20",4,"TATO",13.484375,18.2765286095547,64,0,1
"21",5,"TATO",32.1269841269841,31.432206651003,63,0,1
"22",6,"TATO",13.125,18.9958224312945,64,0,1
"23",7,"TATO",23.015625,15.3037936862229,64,0,1
"24",8,"TATO",55.0483870967742,30.8525990186946,62,0,1
"25",1,"PEMA",14.3333333333333,18.8279779483403,24,0,2
"26",2,"PEMA",55.16,63.2907839525893,25,0,2
"27",3,"PEMA",31.2083333333333,39.3014870463952,24,0,2
"28",4,"PEMA",16.28,19.0405707197377,25,0,2
"29",5,"PEMA",85.4166666666667,68.192130533271,24,0,2
"30",6,"PEMA",26.04,23.5610554375931,25,0,2
"31",7,"PEMA",39.04,36.8549860941501,25,0,2
"32",8,"PEMA",135.72,67.9255229399573,25,0,2
"33",1,"GLOR",14.359375,21.1385206098116,64,0,2
"34",2,"GLOR",6.88709677419355,13.2071823960654,62,0,2
"35",3,"GLOR",13.9206349206349,18.285638280692,63,0,2
"36",4,"GLOR",5.375,9.0193794880361,64,0,2
"37",5,"GLOR",6.80952380952381,13.3075980514373,63,0,2
"38",6,"GLOR",3.109375,8.03586640067664,64,0,2
"39",7,"GLOR",3.078125,7.48183978626257,64,0,2
"40",8,"GLOR",6.40322580645161,13.5531251945202,62,0,2
"41",1,"TATO",22.640625,24.092656582255,64,0,2
"42",2,"TATO",36.1129032258064,21.374187618507,62,0,2
"43",3,"TATO",30.7936507936508,20.9493696341832,63,0,2
"44",4,"TATO",18.125,21.4657349694292,64,0,2
